collection,link_path,link_type,linking_record_sample,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b12,b16,b32,b64,b128,b256,b512,b1024,b4096,b16384,b65535,b262144,bmax
"app.bsky.feed.post",".embed.external.uri","at-uri","at://did:plc:27lihx65yoe5d6ii66olht3k/app.bsky.feed.post/3lhxjtia72hn2",141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"network.comind.blips.messagetoadministrator",".uri","uri","at://did:plc:ljcmm7vvxki72g3j6rono6sa/network.comind.blips.messagetoadministrator/067b3e9f-8256-7460-8000-1e22f1df1b92",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".facets[].features[app.bsky.richtext.facet#link].uri","at-uri","at://did:plc:wnnem3ed7dqgdbljxq47onjq/app.bsky.feed.post/3libh7lbf2v2w",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"community.lexicon.bookmarks.bookmark",".subject","at-uri","at://did:plc:7ojp52ncy5ay6ldsj3db6joj/community.lexicon.bookmarks.bookmark/3lhf2fhlq6y2w",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".text","at-uri","at://did:web:juli.ee/app.bsky.feed.post/3lhjrpucozc2s",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.ruthub.blog",".keys[]","at-uri","at://did:plc:djthigtyew7fmuzjgmakdsk5/com.ruthub.blog/blog",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".embed.record.record.viewer.repost","at-uri","at://did:plc:snod3ilumvylimodptbpoo53/app.bsky.feed.post/3lijvcm6ct72m",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ge.shadowcaster.dev.board.channel.3lh4ubveobs2x.notifications",".channel","at-uri","at://did:plc:gdbw3mid53ebnu55rjdmz4vz/ge.shadowcaster.dev.board.channel.3lh4ubveobs2x.notifications/3lh4uc2grrs2x",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.parent.value.reply.parent.value.embed.record.record.uri","at-uri","at://did:plc:vpufthmtudaqzdx6wbctlrmj/app.bsky.feed.post/3lhvbypt4ts2a",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.repost",".uri","at-uri","at://did:plc:lvdqddxh53kt6klgu7u4gdfb/app.bsky.feed.repost/3lhyc4hdxtz2i",87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.actor.profile",".services.bsky_fg.service","uri","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.generator",".descriptionFacets[].features[app.bsky.richtext.facet#link].uri","uri","at://did:plc:ggvuq4tain4libi6pl2g2bdm/app.bsky.feed.generator/19030be48a8fe8e",7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.feed.post",".reply.root.value.embed.record.record.uri","at-uri","at://did:plc:kbchxc4qboimt7nbuq7kjp3g/app.bsky.feed.post/3lhos6cax7h2v",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"app.bsky.actor.profile",".displayName","at-uri","at://did:plc:7opjnfmb6gtbgjrsr3777ujx/app.bsky.actor.profile/self",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
